value,unit,pearled barley,Quinoa,buckwheat,kamut wheat,brown rice,teff,oats,white rice 
Water,g,68.8,71.61,75.63,65.18,69.91,74.93,83.61,68.01
Energy,kcal,123,120,92,132,122,101,71,129
Protein,g,2.26,4.4,3.38,5.71,2.73,3.87,2.54,2.67
Total lipid (fat),g,0.44,1.92,0.62,0.83,0.96,0.65,1.52,0.28
"Carbohydrate, by difference",g,28.22,21.3,19.94,27.6,25.45,19.86,12,27.99
"Fiber, total dietary",g,3.8,2.8,2.7,4.3,1.6,2.8,1.7,0.4
"Sugars, total including NLEA",g,0.28,0.87,0.9,3.07,0.24,,0.27,0.05
"Calcium, Ca",mg,11,17,7,9,3,49,9,10
"Iron, Fe",mg,1.33,1.49,0.8,1.76,0.56,2.05,0.9,1.19
"Magnesium, Mg",mg,22,64,51,48,39,50,27,12
"Phosphorus, P",mg,54,152,70,147,102,120,77,43
"Potassium, K",mg,93,172,88,164,86,107,70,35
"Sodium, Na",mg,3,7,4,8,202,8,71,245
"Zinc, Zn",mg,0.82,1.09,0.61,1.84,0.71,1.11,1,0.49
"Copper, Cu",mg,0.105,0.192,0.146,0.207,0.105,0.226,0.074,0.069
"Manganese, Mn",mg,0.259,0.631,0.403,1.03,,2.86,0.58,
"Selenium, Se",µg,8.6,2.8,2.2,31.9,5.8,,5.4,7.5
Thiamin,mg,0.083,0.107,0.04,0.095,0.177,0.183,0.076,0.162
Riboflavin,mg,0.062,0.11,0.039,0.03,0.069,0.033,0.016,0.013
Niacin,mg,2.063,0.412,0.94,2.305,2.548,0.909,0.225,1.467
Pantothenic acid,mg,0.135,,0.359,,,,0.311,
Vitamin B-6,mg,0.115,0.123,0.077,0.07,0.122,0.097,0.005,0.092
"Folate, total",µg,16,42,14,11,9,18,6,58
"Folate, food",µg,16,42,14,11,9,18,6,3
"Folate, DFE",µg,16,42,14,11,9,18,6,96
"Choline, total",mg,13.4,23,20.1,,9.2,,7.4,2.1
"Carotene, beta",µg,5,3,0,,0,,0,0
"Vitamin A, IU",IU,7,5,0,4,,2,0,
Lutein + zeaxanthin,µg,56,53,60,,0,,180,0
Vitamin E (alpha-tocopherol),mg,0.01,0.63,0.09,0.24,0.17,,0.08,0.04
"Tocopherol, beta",mg,,0.03,,,,,0.01,
Vitamin K (phylloquinone),µg,0.8,0,1.9,,0.2,,0.3,0
"Fatty acids, total saturated",g,0.093,0.231,0.134,0.077,0.259,,0.31,0.077
"Fatty acids, total monounsaturated",g,0.057,0.528,0.188,0.084,0.367,,0.435,0.087
"Fatty acids, total polyunsaturated",g,0.214,1.078,0.188,0.243,0.364,,0.559,0.076
22:6 n-3 (DHA),g,0,0.015,0,,0,,0,0
Tryptophan,g,0.038,0.052,0.049,0.051,,0.041,,
Threonine,g,0.077,0.131,0.129,0.172,,0.149,,
Isoleucine,g,0.083,0.157,0.127,0.22,,0.146,,
Leucine,g,0.154,0.261,0.212,0.432,,0.311,,
Lysine,g,0.084,0.239,0.172,0.161,,0.109,,
Methionine,g,0.043,0.096,0.044,0.097,,0.125,,
Cystine,g,0.05,0.063,0.058,0.12,,0.069,,
Phenylalanine,g,0.127,0.185,0.133,0.3,,0.203,,
Tyrosine,g,0.065,0.083,0.062,0.137,,0.133,,
Valine,g,0.111,0.185,0.173,0.267,,0.2,,
Arginine,g,0.113,0.34,0.25,0.27,,0.151,,
Histidine,g,0.051,0.127,0.079,0.147,,0.088,,
Alanine,g,0.088,0.183,0.191,0.211,,0.218,,
Aspartic acid,g,0.141,0.353,0.289,0.312,,0.239,,
Glutamic acid,g,0.591,0.58,0.522,1.88,,0.975,,
Glycine,g,0.082,0.216,0.263,0.225,,0.139,,
Proline,g,0.269,0.24,0.129,0.619,,0.193,,
Serine,g,0.095,0.176,0.175,0.295,,0.181,,
